Time,PACKAGED ROOFTOP AIR CONDITIONER:DesPer 1:Des Heat Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 1:Des Heat Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 1:Des Cool Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 1:Des Sens Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 1:Des Tot Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 2:Des Heat Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 2:Des Heat Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 2:Des Cool Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 2:Des Sens Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:DesPer 2:Des Tot Cool Cap [W]
08:50:00,4.330748E-02,6.592671E+02,5.991487E-02,7.113168E+02,1.346894E+03,2.817737E-01,7.343398E+03,4.330748E-02,0.000000E+00,0.000000E+00
09:00:00,4.330748E-02,6.449352E+02,5.823897E-02,7.067892E+02,1.331255E+03,2.854693E-01,7.413991E+03,4.330748E-02,0.000000E+00,0.000000E+00
09:10:00,4.330748E-02,6.321120E+02,6.146736E-02,7.559447E+02,1.399739E+03,2.859222E-01,7.422656E+03,4.330748E-02,0.000000E+00,0.000000E+00
09:20:00,4.330748E-02,6.192887E+02,6.480462E-02,8.063249E+02,1.469104E+03,2.862556E-01,7.429031E+03,4.330748E-02,0.000000E+00,0.000000E+00
09:30:00,4.330748E-02,6.064654E+02,6.819864E-02,8.573437E+02,1.538348E+03,2.865338E-01,7.434348E+03,4.330748E-02,0.000000E+00,0.000000E+00
09:40:00,4.330748E-02,5.936421E+02,7.163351E-02,9.088222E+02,1.607144E+03,2.867681E-01,7.438826E+03,4.330748E-02,0.000000E+00,0.000000E+00
09:50:00,4.330748E-02,5.808189E+02,7.509909E-02,9.606462E+02,1.675301E+03,2.869683E-01,7.442653E+03,4.330748E-02,0.000000E+00,0.000000E+00
10:00:00,4.330748E-02,5.679956E+02,7.859563E-02,1.012819E+03,1.742829E+03,2.871429E-01,7.445988E+03,4.330748E-02,0.000000E+00,0.000000E+00
10:10:00,4.330748E-02,5.566809E+02,8.209833E-02,1.063552E+03,1.807798E+03,2.872963E-01,7.448919E+03,4.330748E-02,0.000000E+00,0.000000E+00
10:20:00,4.330748E-02,5.453663E+02,8.559010E-02,1.114162E+03,1.871568E+03,2.874299E-01,7.451471E+03,4.330748E-02,0.000000E+00,0.000000E+00
10:30:00,4.330748E-02,5.340516E+02,8.905671E-02,1.164489E+03,1.933997E+03,2.875468E-01,7.453703E+03,4.330748E-02,0.000000E+00,0.000000E+00
